jour,Heure,TitreSpectacle,Lieu,Village,Compagnie,P,R,O,SJ,SA,E
vendredi 02 ao?t 2019,14h30,Le Tartuffe ou l'imposteur,Manoir des noix,Veauce,La Compagnie de l¡¯¨¦lan,11,4,1,0,0,3
vendredi 02 ao?t 2019,14h30,Les confessions : Les ann¨¦es de Jeunesse,Eglise,Veauce,Le Th¨¦atre du partage,12,2,1,0,2,0
vendredi 02 ao?t 2019,17h00,Mademoiselle Julie,Manoir des noix,Veauce,L'Ecume des ours,4,7,0,1,2,0
vendredi 02 ao?t 2019,20h30,Le marchand de Venise,Manoir des noix,Veauce,La Compagnie de l¡¯¨¦lan,16,1,5,2,4,0
vendredi 02 ao?t 2019,17h00,La gloire de mon p¨¨re,Chateau de Lachaise,Mon¨¦tay sur Allier,L'Accompagnie,16,0,2,0,0,3
vendredi 02 ao?t 2019,20h30,Le chateau de ma m¨¨re,Chateau de Lachaise,Mon¨¦tay sur Allier,L'Accompagnie,29,2,1,0,0,3
vendredi 02 ao?t 2019,17h00,Les soliloques de Mariette,Chateau d'Idogne,Monteignet sur l'Andelot,labelles&cie,6,0,1,0,0,0
vendredi 02 ao?t 2019,14h30,"Barbara, o¨´ r¨ºvent mes saisons",Chateau d'Idogne,Monteignet sur l'Andelot,R¨ºve g¨¦n¨¦ral,17,3,0,0,0,0
vendredi 02 ao?t 2019,20h30,Le proph¨¨te,Domaine de la Qu¨¦rye,Monteignet sur l'Andelot,Le Th¨¦atre du partage,22,5,7,0,5,1
samedi 03 ao?t 2019,14h30,Le mariage,Manoir des noix,Veauce,La Compagnie de l¡¯¨¦lan,6,3,1,0,0,0
samedi 03 ao?t 2019,14h30,Les confessions : Les ann¨¦es de Maturit¨¦,Eglise,Veauce,Le Th¨¦atre du partage,9,1,0,2,3,0
samedi 03 ao?t 2019,17h00,Titre Provisoire,Manoir des noix,Veauce,Alterth¨¦atre,8,3,0,2,3,0
samedi 03 ao?t 2019,20h30,Le proph¨¨te,Manoir des noix,Veauce,Le Th¨¦atre du partage,15,2,0,4,6,0
samedi 03 ao?t 2019,14h30,Les soliloques de Mariette,Chateau de Lachaise,Mon¨¦tay sur Allier,labelles&cie,6,0,0,0,0,0
samedi 03 ao?t 2019,17h00,La demande en mariage et L'ours,Chateau de Lachaise,Mon¨¦tay sur Allier,L'Ecume des ours,30,5,0,0,0,1
